#mGo	mLSP	Total	TotGenW	Counts	genWeight
1850	1150	32362718	32362718.000	16753	16753.000
2350	500	32362718	32362718.000	21090	21090.000
650	425	32362718	32362718.000	222655	222655.000
1450	1150	32362718	32362718.000	23077	23077.000
1650	400	32362718	32362718.000	19006	19006.000
950	300	32362718	32362718.000	137816	137816.000
2200	400	32362718	32362718.000	16534	16534.000
2400	600	32362718	32362718.000	16556	16556.000
600	100	32362718	32362718.000	340200	340200.000
1750	850	32362718	32362718.000	18720	18720.000
1900	400	32362718	32362718.000	20773	20773.000
1800	1350	32362718	32362718.000	20254	20254.000
2100	300	32362718	32362718.000	18351	18351.000
2800	0	32362718	32362718.000	18638	18638.000
1150	300	32362718	32362718.000	93609	93609.000
1400	1100	32362718	32362718.000	21011	21011.000
1650	900	32362718	32362718.000	20740	20740.000
2750	1500	32362718	32362718.000	13283	13283.000
1200	800	32362718	32362718.000	63482	63482.000
700	475	32362718	32362718.000	135637	135637.000
1950	900	32362718	32362718.000	16674	16674.000
2750	100	32362718	32362718.000	18990	18990.000
1350	1050	32362718	32362718.000	25990	25990.000
1050	300	32362718	32362718.000	138140	138140.000
1750	1150	32362718	32362718.000	18493	18493.000
2750	600	32362718	32362718.000	15148	15148.000
1300	1050	32362718	32362718.000	33171	33171.000
1750	1450	32362718	32362718.000	20784	20784.000
2050	1500	32362718	32362718.000	18402	18402.000
1600	1350	32362718	32362718.000	23885	23885.000
2550	300	32362718	32362718.000	19952	19952.000
1600	1300	32362718	32362718.000	19680	19680.000
2150	0	32362718	32362718.000	18222	18222.000
850	625	32362718	32362718.000	137880	137880.000
1650	1300	32362718	32362718.000	17666	17666.000
2600	800	32362718	32362718.000	19963	19963.000
2200	900	32362718	32362718.000	17660	17660.000
950	700	32362718	32362718.000	144073	144073.000
2800	600	32362718	32362718.000	14147	14147.000
2800	1000	32362718	32362718.000	20411	20411.000
2400	1500	32362718	32362718.000	17765	17765.000
750	400	32362718	32362718.000	142708	142708.000
1200	100	32362718	32362718.000	65287	65287.000
1900	300	32362718	32362718.000	17886	17886.000
1800	1450	32362718	32362718.000	18059	18059.000
1900	500	32362718	32362718.000	17830	17830.000
1700	950	32362718	32362718.000	21664	21664.000
1300	200	32362718	32362718.000	33703	33703.000
2200	600	32362718	32362718.000	15486	15486.000
2000	1550	32362718	32362718.000	15919	15919.000
2300	1350	32362718	32362718.000	18151	18151.000
900	400	32362718	32362718.000	144277	144277.000
800	450	32362718	32362718.000	141053	141053.000
1650	0	32362718	32362718.000	19533	19533.000
1400	0	32362718	32362718.000	15183	15183.000
1000	450	32362718	32362718.000	139944	139944.000
2150	1300	32362718	32362718.000	17860	17860.000
1600	750	32362718	32362718.000	16108	16108.000
1550	1300	32362718	32362718.000	17607	17607.000
1350	650	32362718	32362718.000	27332	27332.000
2750	200	32362718	32362718.000	17005	17005.000
1200	950	32362718	32362718.000	65042	65042.000
2100	1500	32362718	32362718.000	15799	15799.000
1400	450	32362718	32362718.000	21058	21058.000
1900	1000	32362718	32362718.000	18093	18093.000
2050	900	32362718	32362718.000	19812	19812.000
600	350	32362718	32362718.000	361697	361697.000
2050	1350	32362718	32362718.000	20607	20607.000
2550	1300	32362718	32362718.000	17051	17051.000
2500	100	32362718	32362718.000	15533	15533.000
1100	550	32362718	32362718.000	131238	131238.000
1700	1200	32362718	32362718.000	17758	17758.000
2700	200	32362718	32362718.000	17380	17380.000
1850	200	32362718	32362718.000	17717	17717.000
1100	100	32362718	32362718.000	124587	124587.000
1300	550	32362718	32362718.000	34439	34439.000
950	550	32362718	32362718.000	143645	143645.000
1750	1200	32362718	32362718.000	19671	19671.000
2800	1500	32362718	32362718.000	17284	17284.000
