#mGo	mLSP	Total	TotGenW	Counts	genWeight
2250	1350	44775926	44775926.000	30409	30409.000
2350	200	44775926	44775926.000	24282	24282.000
1700	800	44775926	44775926.000	17889	17889.000
1750	1400	44775926	44775926.000	25006	25006.000
2800	700	44775926	44775926.000	35985	35985.000
2650	800	44775926	44775926.000	20256	20256.000
2600	300	44775926	44775926.000	19084	19084.000
2550	1200	44775926	44775926.000	16869	16869.000
2000	1600	44775926	44775926.000	30804	30804.000
1700	1000	44775926	44775926.000	20822	20822.000
1250	800	44775926	44775926.000	54000	54000.000
2200	1250	44775926	44775926.000	18867	18867.000
1200	500	44775926	44775926.000	78655	78655.000
1900	700	44775926	44775926.000	26878	26878.000
1700	1150	44775926	44775926.000	29316	29316.000
1550	950	44775926	44775926.000	30193	30193.000
1300	500	44775926	44775926.000	33554	33554.000
1450	100	44775926	44775926.000	21756	21756.000
1750	500	44775926	44775926.000	27361	27361.000
1450	400	44775926	44775926.000	22624	22624.000
2450	500	44775926	44775926.000	19320	19320.000
1850	1250	44775926	44775926.000	20914	20914.000
2500	1500	44775926	44775926.000	20580	20580.000
2350	0	44775926	44775926.000	19747	19747.000
2250	800	44775926	44775926.000	21816	21816.000
700	200	44775926	44775926.000	200964	200964.000
2550	1400	44775926	44775926.000	14132	14132.000
2000	1200	44775926	44775926.000	13781	13781.000
2500	1300	44775926	44775926.000	18753	18753.000
2600	700	44775926	44775926.000	25699	25699.000
1000	300	44775926	44775926.000	197339	197339.000
2100	1250	44775926	44775926.000	19395	19395.000
1650	750	44775926	44775926.000	23043	23043.000
1550	1100	44775926	44775926.000	21745	21745.000
1600	1200	44775926	44775926.000	19744	19744.000
2200	1100	44775926	44775926.000	24119	24119.000
1750	1500	44775926	44775926.000	23604	23604.000
2050	1050	44775926	44775926.000	28165	28165.000
2150	1350	44775926	44775926.000	26973	26973.000
2350	1600	44775926	44775926.000	30345	30345.000
1050	600	44775926	44775926.000	174866	174866.000
